type,year,month,page_url,pdf_url
smp,2007,feb,https://www.rba.gov.au/publications/smp/2007/feb/,https://www.rba.gov.au/publications/smp/2007/feb/pdf/statement-on-monetary-policy-2007-02.pdf
smp,2007,may,https://www.rba.gov.au/publications/smp/2007/may/,https://www.rba.gov.au/publications/smp/2007/may/pdf/statement-on-monetary-policy-2007-05.pdf
smp,2007,aug,https://www.rba.gov.au/publications/smp/2007/aug/,https://www.rba.gov.au/publications/smp/2007/aug/pdf/statement-on-monetary-policy-2007-08.pdf
smp,2007,nov,https://www.rba.gov.au/publications/smp/2007/nov/,https://www.rba.gov.au/publications/smp/2007/nov/pdf/statement-on-monetary-policy-2007-11.pdf
smp,2008,feb,https://www.rba.gov.au/publications/smp/2008/feb/,https://www.rba.gov.au/publications/smp/2008/feb/pdf/statement-on-monetary-policy-2008-02.pdf
smp,2008,may,https://www.rba.gov.au/publications/smp/2008/may/,https://www.rba.gov.au/publications/smp/2008/may/pdf/statement-on-monetary-policy-2008-05.pdf
smp,2008,aug,https://www.rba.gov.au/publications/smp/2008/aug/,https://www.rba.gov.au/publications/smp/2008/aug/pdf/statement-on-monetary-policy-2008-08.pdf
smp,2008,nov,https://www.rba.gov.au/publications/smp/2008/nov/,https://www.rba.gov.au/publications/smp/2008/nov/pdf/statement-on-monetary-policy-2008-11.pdf
smp,2009,feb,https://www.rba.gov.au/publications/smp/2009/feb/,https://www.rba.gov.au/publications/smp/2009/feb/pdf/statement-on-monetary-policy-2009-02.pdf
smp,2009,may,https://www.rba.gov.au/publications/smp/2009/may/,https://www.rba.gov.au/publications/smp/2009/may/pdf/statement-on-monetary-policy-2009-05.pdf
smp,2009,aug,https://www.rba.gov.au/publications/smp/2009/aug/,https://www.rba.gov.au/publications/smp/2009/aug/pdf/statement-on-monetary-policy-2009-08.pdf
smp,2009,nov,https://www.rba.gov.au/publications/smp/2009/nov/,https://www.rba.gov.au/publications/smp/2009/nov/pdf/statement-on-monetary-policy-2009-11.pdf
smp,2010,feb,https://www.rba.gov.au/publications/smp/2010/feb/,https://www.rba.gov.au/publications/smp/2010/feb/pdf/statement-on-monetary-policy-2010-02.pdf
smp,2010,may,https://www.rba.gov.au/publications/smp/2010/may/,https://www.rba.gov.au/publications/smp/2010/may/pdf/statement-on-monetary-policy-2010-05.pdf
smp,2010,aug,https://www.rba.gov.au/publications/smp/2010/aug/,https://www.rba.gov.au/publications/smp/2010/aug/pdf/statement-on-monetary-policy-2010-08.pdf
smp,2010,nov,https://www.rba.gov.au/publications/smp/2010/nov/,https://www.rba.gov.au/publications/smp/2010/nov/pdf/statement-on-monetary-policy-2010-11.pdf
smp,2011,feb,https://www.rba.gov.au/publications/smp/2011/feb/,https://www.rba.gov.au/publications/smp/2011/feb/pdf/statement-on-monetary-policy-2011-02.pdf
smp,2011,may,https://www.rba.gov.au/publications/smp/2011/may/,https://www.rba.gov.au/publications/smp/2011/may/pdf/statement-on-monetary-policy-2011-05.pdf
smp,2011,aug,https://www.rba.gov.au/publications/smp/2011/aug/,https://www.rba.gov.au/publications/smp/2011/aug/pdf/statement-on-monetary-policy-2011-08.pdf
smp,2011,nov,https://www.rba.gov.au/publications/smp/2011/nov/,https://www.rba.gov.au/publications/smp/2011/nov/pdf/statement-on-monetary-policy-2011-11.pdf
smp,2012,feb,https://www.rba.gov.au/publications/smp/2012/feb/,https://www.rba.gov.au/publications/smp/2012/feb/pdf/statement-on-monetary-policy-2012-02.pdf
smp,2012,may,https://www.rba.gov.au/publications/smp/2012/may/,https://www.rba.gov.au/publications/smp/2012/may/pdf/statement-on-monetary-policy-2012-05.pdf
smp,2012,aug,https://www.rba.gov.au/publications/smp/2012/aug/,https://www.rba.gov.au/publications/smp/2012/aug/pdf/statement-on-monetary-policy-2012-08.pdf
smp,2012,nov,https://www.rba.gov.au/publications/smp/2012/nov/,https://www.rba.gov.au/publications/smp/2012/nov/pdf/statement-on-monetary-policy-2012-11.pdf
smp,2013,feb,https://www.rba.gov.au/publications/smp/2013/feb/,https://www.rba.gov.au/publications/smp/2013/feb/pdf/statement-on-monetary-policy-2013-02.pdf
smp,2013,may,https://www.rba.gov.au/publications/smp/2013/may/,https://www.rba.gov.au/publications/smp/2013/may/pdf/statement-on-monetary-policy-2013-05.pdf
